t: 8.91495
nCells: 20x20, dx: 0.1, dx: 0.1
u (21x22):
            19|             0       0.08749        0.1459        0.1898        0.2249        0.2546        0.2803        0.3033         0.324        0.3431        0.3608        0.3775        0.3935         0.409        0.4243        0.4386        0.4505        0.4483        0.4084        0.2802             0
            18|             0      -0.03799      -0.03578      -0.02578      -0.01475     -0.003834      0.006897       0.01721       0.02732       0.03746       0.04791       0.05902       0.07133       0.08553         0.102          0.12        0.1347        0.1491        0.1492        0.1006             0
            17|             0      -0.01078      -0.01937      -0.02274      -0.02324      -0.02226      -0.02039      -0.01766       -0.0141     -0.009563     -0.003672      0.004208       0.01481       0.02888        0.0464         0.065       0.07858        0.0761       0.06133       0.03299             0
            16|             0     -0.006926      -0.01345      -0.01735      -0.01941      -0.02029      -0.02032      -0.01955      -0.01795      -0.01534      -0.01139      -0.00562      0.002655       0.01405       0.02851       0.04409       0.05562       0.05219       0.02945      0.004175             0
            15|             0     -0.004481     -0.009754      -0.01371      -0.01636      -0.01802      -0.01892      -0.01915      -0.01874      -0.01761      -0.01564      -0.01258       -0.0081     -0.001814      0.006288       0.01511       0.02141       0.01705     -0.002808      -0.01533             0
            14|             0     -0.003192      -0.00757      -0.01134      -0.01426      -0.01644      -0.01802      -0.01913      -0.01985      -0.02027      -0.02047      -0.02059      -0.02074      -0.02102      -0.02166       -0.0232      -0.02661      -0.03171      -0.03719      -0.03165             0
            13|             0     -0.002484     -0.006269     -0.009843      -0.01289      -0.01543      -0.01758      -0.01946      -0.02122      -0.02308      -0.02532      -0.02842      -0.03305      -0.04002      -0.04969      -0.06113      -0.07119      -0.07452      -0.06756      -0.04532             0
            12|             0     -0.002091     -0.005492     -0.008906      -0.01202      -0.01482      -0.01741      -0.01991      -0.02251      -0.02549      -0.02925      -0.03446       -0.0421      -0.05343      -0.06909      -0.08721       -0.1019       -0.1045      -0.08951      -0.05478             0
            11|             0     -0.001873     -0.005024     -0.008315      -0.01145      -0.01443      -0.01732      -0.02025      -0.02343      -0.02711      -0.03172      -0.03788      -0.04649      -0.05874      -0.07549      -0.09539       -0.1126        -0.117      -0.09992      -0.05885             0
            10|             0     -0.001751     -0.004733     -0.007924      -0.01106      -0.01412      -0.01719      -0.02037      -0.02383      -0.02781      -0.03265       -0.0388      -0.04686      -0.05753      -0.07137      -0.08774       -0.1029        -0.109       -0.0953      -0.05618             0
             9|             0      -0.00168     -0.004538     -0.007637      -0.01074      -0.01382      -0.01694      -0.02019      -0.02371      -0.02767      -0.03229      -0.03784       -0.0446      -0.05282      -0.06249      -0.07297       -0.0823      -0.08581      -0.07551      -0.04474             0
             8|             0     -0.001635     -0.004391       -0.0074      -0.01044      -0.01348      -0.01656      -0.01976      -0.02316      -0.02686        -0.031      -0.03567      -0.04096      -0.04677      -0.05277       -0.0582      -0.06159      -0.06038      -0.05049      -0.02835             0
             7|             0       -0.0016     -0.004267     -0.007183      -0.01013      -0.01309      -0.01608      -0.01913      -0.02229      -0.02563      -0.02917      -0.03292      -0.03681      -0.04063      -0.04392      -0.04592      -0.04549      -0.04115      -0.03128      -0.01551             0
             6|             0     -0.001569     -0.004155     -0.006977      -0.00983      -0.01268      -0.01552      -0.01838      -0.02127      -0.02419      -0.02713      -0.03002      -0.03275      -0.03505       -0.0365      -0.03649      -0.03421      -0.02886      -0.02004     -0.008763             0
             5|             0     -0.001542     -0.004052     -0.006784     -0.009535      -0.01226      -0.01495      -0.01761      -0.02021      -0.02273      -0.02513      -0.02731      -0.02913      -0.03034      -0.03062      -0.02951      -0.02654      -0.02133      -0.01399     -0.005698             0
             4|             0     -0.001516     -0.003958     -0.006606      -0.00926      -0.01187      -0.01441      -0.01687      -0.01921      -0.02138      -0.02333      -0.02495       -0.0261      -0.02657      -0.02613      -0.02449      -0.02137      -0.01666       -0.0106     -0.004211             0
             3|             0     -0.001487     -0.003861     -0.006427     -0.008989      -0.01149       -0.0139      -0.01619      -0.01831      -0.02021      -0.02181      -0.02301      -0.02369      -0.02369      -0.02284      -0.02095      -0.01789      -0.01368     -0.008585      -0.00339             0
             2|             0     -0.001427     -0.003693     -0.006143     -0.008588      -0.01097      -0.01324      -0.01537      -0.01732      -0.01901      -0.02037      -0.02131      -0.02171      -0.02144      -0.02038      -0.01842      -0.01552      -0.01173      -0.00731     -0.002889             0
             1|             0     -0.001227      -0.00321     -0.005373     -0.007541     -0.009655      -0.01168      -0.01359      -0.01532      -0.01682      -0.01801      -0.01881       -0.0191      -0.01879      -0.01776      -0.01596      -0.01336      -0.01004     -0.006225     -0.002457             0
             0|             0    -0.0006247     -0.001769     -0.003048     -0.004342     -0.005624     -0.006879     -0.008087     -0.009219      -0.01024      -0.01108       -0.0117        -0.012      -0.01192      -0.01136      -0.01027     -0.008624      -0.00647     -0.003969     -0.001508             0
            -1|             0     0.0006248      0.001774      0.003056      0.004355      0.005641      0.006901      0.008113       0.00925       0.01027       0.01112       0.01174       0.01205       0.01196       0.01141       0.01031      0.008661      0.006498      0.003985      0.001511             0

g (22x21):
              |            -1             0             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            19|             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0
            18|      -0.08606         0.085       0.05977       0.04437       0.03549       0.02987       0.02595       0.02309        0.0209       0.01919       0.01786       0.01685       0.01615       0.01571       0.01543       0.01433       0.01113      -0.00369      -0.04193       -0.1254       -0.2486         0.264
            17|      -0.04789       0.04756       0.06159       0.05405       0.04629       0.04061       0.03654        0.0333       0.03093       0.02927       0.02828       0.02798       0.02852       0.03002       0.03204       0.03232       0.02528      0.007735      -0.04807       -0.1808       -0.3444         0.355
            16|      -0.03706       0.03687       0.05302       0.05071       0.04579       0.04159       0.03839       0.03602       0.03448       0.03382       0.03419       0.03589       0.03921       0.04422       0.04973       0.05103       0.03869      0.004418      -0.06554       -0.2131       -0.3787        0.3838
            15|      -0.03012          0.03        0.0465       0.04682       0.04374       0.04072       0.03837       0.03679       0.03608       0.03644       0.03816       0.04169       0.04753       0.05572       0.06433       0.06666       0.04988     0.0001701      -0.08973       -0.2405       -0.3838        0.3859
            14|      -0.02564       0.02554       0.04124       0.04287        0.0411       0.03906       0.03747       0.03655        0.0365       0.03756       0.04014       0.04477       0.05208        0.0621       0.07252        0.0754       0.05549     -0.005779        -0.112       -0.2548       -0.3689        0.3689
            13|      -0.02245       0.02237       0.03686       0.03911       0.03819       0.03689       0.03589       0.03545       0.03578       0.03715       0.03994       0.04468       0.05198       0.06191       0.07196       0.07361       0.05101      -0.01301       -0.1198       -0.2505       -0.3373        0.3359
            12|      -0.01997        0.0199       0.03308       0.03554       0.03515       0.03435       0.03374       0.03357       0.03402        0.0353       0.03771       0.04161        0.0474       0.05504       0.06238       0.06204       0.04016      -0.01802       -0.1147       -0.2289       -0.2915        0.2892
            11|      -0.01789       0.01782       0.02969       0.03213       0.03204       0.03155       0.03116       0.03107       0.03142       0.03233       0.03396       0.03643       0.03981       0.04381       0.04686       0.04397       0.02519      -0.02146       -0.1006       -0.1939       -0.2359        0.2334
            10|      -0.01602       0.01596       0.02654       0.02884       0.02891       0.02858       0.02827       0.02814       0.02825       0.02866       0.02936        0.0303       0.03124       0.03165       0.03026       0.02425      0.008092      -0.02596      -0.08349        -0.152       -0.1758        0.1738
             9|      -0.01427       0.01422       0.02356       0.02566       0.02578       0.02551       0.02522       0.02497        0.0248       0.02468       0.02454       0.02417       0.02322       0.02104       0.01654      0.008064     -0.006889      -0.03168      -0.06928       -0.1119       -0.1185        0.1172
